Feature,Importance
Model_SAMSUNG Galaxy F04,2.25E-05
Processor__Mediatek Dimensity 1300,2.25E-05
Colour_Royal Blue,2.13E-05
Processor__MediaTek Helio G70,2.05E-05
Colour_Aquamarine Blue,2.01E-05
Model_SAMSUNG Galaxy A04,2.01E-05
Colour_Sunrise Blue,1.95E-05
Processor__Dimensity 8020,1.94E-05
Colour_Oxygen Blue,1.89E-05
Colour_Drizzling Gold,1.88E-05
Colour_Atlantic Green,1.85E-05
Model_vivo Y1s,1.85E-05
Model_POCO X2,1.84E-05
Model_vivo Y21T,1.84E-05
Model_MOTOROLA g42,1.80E-05
Model_redmi max,1.78E-05
Processor__MediaTek Helio G35,1.76E-05
Processor__MediaTek Helio G96,1.72E-05
Colour_Phantom Blue,1.67E-05
Rear Camera_40MP,1.65E-05
Colour_Marine Blue,1.63E-05
Processor__Octa Core,1.60E-05
Colour_Speed Blue,1.60E-05
Model_realme 10,1.59E-05
Processor__Exynos Octa Core,1.56E-05
Colour_Light Green,1.56E-05
Colour_Glimmer Black,1.55E-05
Colour_Midnight Galaxy,1.54E-05
Colour_M3),1.54E-05
Processor__Mediatek Helio G99 Octa Core,1.53E-05
Colour_Frosted Green,1.53E-05
Colour_Speed Black,1.51E-05
Colour_Aqua Blue,1.49E-05
Model_OPPO A77,1.45E-05
Colour_Eco Black,1.45E-05
"Processor__Exynos 1330, Octa Core ",1.40E-05
Colour_Aurora Blue,1.39E-05
Colour_Starry Sky,1.38E-05
Colour_Peach,1.36E-05
Model_realme 9 5G SE,1.34E-05
Processor__Meditek Helio G37,1.33E-05
Model_SAMSUNG Galaxy F14 5G,1.29E-05
Colour_Flashy Black,1.28E-05
Colour_Meteorite Grey,1.27E-05
Colour_GOAT Green,1.27E-05
Processor__Helio G36,1.26E-05
Processor__Unisoc T606,1.26E-05
Processor__Unisoc,1.25E-05
Colour_Frosted Blue,1.19E-05
Model_realme 9i,1.18E-05
Colour_Astral Black,1.17E-05
Model_vivo Y35,1.16E-05
Colour_Cyber Black,1.15E-05
Colour_Charcoal Grey,1.15E-05
Colour_Light Silver,1.15E-05
Model_REDMI Note 11,1.14E-05
Model_Infinix SMART 7,1.14E-05
Model_MOTOROLA g72,1.13E-05
Colour_Racing Silver,1.09E-05
Model_Infinix Hot 20 5G,1.06E-05
Colour_Lightsaber Green,1.04E-05
Model_POCO C31,1.04E-05
Colour_Flash Blue,1.03E-05
Colour_Mystique Blue,1.02E-05
Model_Tecno Spark Go 2023,1.01E-05
Processor__Qualcomm Snapdragon 680 (SM6225),1.01E-05
Front Camera_2MP,1.00E-05
Colour_Gray Shadow,9.88E-06
Processor__Spreadtrum,9.69E-06
Model_POCO C50,9.46E-06
Model_itel A60,9.43E-06
Colour_Astral White,9.38E-06
Colour_Country Green,9.35E-06
Model_Infinix Smart 6 HD,9.22E-06
Processor__Unisoc Spreadtrum SC9863A1,9.16E-06
Model_Infinix Smart 6,9.11E-06
Model_REDMI 9 Activ,9.05E-06
Model_Infinix Hot 12,8.94E-06
Model_realme C33 2023,8.91E-06
Colour_Sunrise Gold,8.69E-06
Colour_Flash Black,8.58E-06
Processor__Mediatek Helio A22,8.33E-06
Model_Micromax IN 2C,8.33E-06
Colour_Nebula Blue,8.25E-06
Model_OnePlus Nord,8.24E-06
Colour_Watery Grey,8.19E-06
Model_realme 9 5G,8.12E-06
Colour_Metallic White,7.96E-06
Colour_Forest Green,7.92E-06
Model_realme NARZO 50A PRIME,7.92E-06
Colour_Copper,7.90E-06
Rear Camera_5MP,7.84E-06
Model_realme C31,7.71E-06
Model_OPPO Reno8T 5G,7.60E-06
Processor__Qualcomm Snapdragon 720G,7.45E-06
Colour_Mint Green,7.40E-06
Colour_Ice Blue,7.37E-06
Processor__Unisoc SC9863A,7.15E-06
Colour_Oxygen Green,7.05E-06
Colour_Black Engine,6.87E-06
Colour_FLASH BLUE,6.69E-06
Colour_Atlantic Blue,6.69E-06
Colour_Clash White,6.66E-06
Colour_Azure Glow,6.65E-06
Model_POCO M4 Pro 5G,6.61E-06
Processor__Mediatek Dimensity 930,6.51E-06
Model_Infinix NOTE 12i,6.40E-06
Colour_Matte Black,6.29E-06
Processor__Snapdragon 680,6.26E-06
Colour_Sunlight Orange,6.25E-06
Colour_Silver Wave,6.09E-06
Colour_Metal Black,5.96E-06
Colour_Lake Blue,5.90E-06
Model_MOTOROLA e13,5.80E-06
Model_POCO C51,5.74E-06
Colour_Space Blue,5.69E-06
Colour_Snowfall,5.65E-06
Colour_Blaster Green,5.58E-06
Colour_Iceberg Blue,5.57E-06
Model_REDMI Note 11S,5.30E-06
Model_realme Narzo 50i Prime,5.28E-06
Colour_Solar Gold,5.21E-06
Processor__Unisoc T610,5.21E-06
Model_realme 8,5.12E-06
Colour_Arctic Blue,4.97E-06
Colour_Racing Black,4.91E-06
Model_MOTOROLA g73 5G,4.60E-06
Model_MOTOROLA G42,4.54E-06
Colour_Mirror Black,4.52E-06
Model_REDMI 10 Prime 2022,4.43E-06
Processor__Spreadtrum SC9863A1,4.41E-06
Model_REDMI A1+,4.40E-06
Colour_Stellar Black,4.35E-06
Processor__Unisoc T612 processor,4.31E-06
Colour_Sandy Gold,4.28E-06
Colour_Rainy Night,4.25E-06
Colour_Dark Blue,4.20E-06
Processor__UNISOC T700,4.17E-06
Colour_Glacier White,4.07E-06
Colour_Copper Blush,4.05E-06
Model_Tecno Spark 9,3.97E-06
Model_SAMSUNG Galaxy A04e,3.78E-06
Model_REDMI Note 9,3.49E-06
Colour_Cosmic Black,3.44E-06
Colour_Obsidian Black,3.41E-06
Model_realme C11 2021,3.35E-06
Processor__MediaTek Helio G37,3.26E-06
Colour_UYUNI BLUE,3.26E-06
Colour_Carbon Gray,3.25E-06
Colour_Cool Grey,3.25E-06
Model_realme C30,3.20E-06
Colour_Matte Charcoal,3.17E-06
Processor__MediaTek Helio G80,3.13E-06
Colour_Punk Black,3.12E-06
Model_Infinix Smart 7 HD,3.12E-06
Processor__SC9863A,3.09E-06
Model_LAVA Z2,3.05E-06
Model_MOTOROLA g22,3.01E-06
Colour_Creamy White,2.92E-06
Colour_Surfing Blue,2.91E-06
Colour_Noble Black,2.87E-06
Colour_Emerald Green,2.85E-06
Model_REDMI 9i,2.85E-06
Model_realme Narzo 30 Pro 5G,2.73E-06
Colour_Gold,2.70E-06
Processor__MediaTek Helio A22,2.68E-06
Colour_Metallic Rose,2.59E-06
Model_Tecno Pova 3,2.54E-06
Colour_Tahiti Gold,2.46E-06
Colour_Rainforest,2.45E-06
Model_Infinix HOT 12 Play,2.40E-06
"Processor__2GHz, Quad Core ",2.37E-06
Model_MOTOROLA e40,2.36E-06
Colour_Night Sea,2.36E-06
Colour_Twilight Gold,2.34E-06
Model_REDMI 12c,2.34E-06
Colour_Nitro Blaze,2.34E-06
Colour_Agate Black,2.33E-06
Rear Camera_16MP,2.22E-06
Processor__Helio G25,2.19E-06
Colour_Dawn Gold,2.16E-06
Model_SAMSUNG Galaxy M04,2.04E-06
Processor__Octa-core,1.99E-06
Colour_Prime Blue,1.98E-06
Colour_Opal Green,1.98E-06
Colour_Nightsky Green,1.91E-06
Model_realme C30s,1.80E-06
Model_Infinix Smart 5A,1.80E-06
Colour_Blade Silver,1.80E-06
Colour_Space Black,1.79E-06
Colour_Cross Black,1.79E-06
Model_REDMI 10A SPORT,1.78E-06
Colour_Rocking Black,1.76E-06
Model_vivo Y33s,1.74E-06
Processor__MediaTek G35,1.73E-06
Colour_Coral Green,1.71E-06
Colour_SLATE GREY,1.67E-06
Colour_Dark Green,1.66E-06
Processor__MediaTek G37,1.66E-06
Processor__MediaTek Dimensity 800U,1.65E-06
Colour_Jade Purple,1.62E-06
Colour_Prism Blue,1.51E-06
Model_Nokia G11 Plus,1.50E-06
Model_Infinix HOT 20 Play,1.47E-06
Model_realme Narzo 50i,1.44E-06
Colour_Azure Blue,1.43E-06
Colour_Turquoise Cyan,1.38E-06
Colour_Light Blue,1.37E-06
Model_redmi min,1.37E-06
Model_realme narzo 50i Prime,1.34E-06
Colour_Endless Black,1.29E-06
Colour_Brown,1.28E-06
Processor__Unisoc SC9863A/ Unisoc SC9863A1,1.28E-06
Processor__MediaTek Helio A20,1.26E-06
Model_realme Narzo N55,1.26E-06
Colour_Nebula Purple,1.22E-06
Processor__Qualcomm Snapdragon 8 Gen 2,1.20E-06
Processor__MediaTek Helio G25,1.20E-06
Colour_Grey,1.16E-06
Model_micromax 2,1.12E-06
Colour_Uyuni Blue,1.08E-06
Model_I Kall Z19Pro,1.06E-06
Model_REDMI Note 10 Lite,1.03E-06
Model_MOTOROLA e22s,1.00E-06
Colour_Shadow Gray,9.81E-07
Colour_Metaverse Blue,9.78E-07
Colour_Sky Mirror,9.08E-07
Colour_Origin Blue,8.91E-07
Colour_Sunshower,8.89E-07
Colour_CHARCOAL BLACK,7.99E-07
Colour_Watery Blue,7.53E-07
Model_I Kall Z19Pro Flash blue,7.44E-07
Colour_Supersonic Black,7.29E-07
Colour_Infinity Black,7.25E-07
Colour_SapphireBlack,7.21E-07
Model_Infinix Zero 5G 2023,7.11E-07
Model_realme C21Y,7.04E-07
Colour_Dark Matter,6.82E-07
Colour_B.A.E. Purple,6.79E-07
Model_Nokia C01 Plus,6.43E-07
Model_Infinix Note 12 5G,6.18E-07
Processor__Mediatek MT6261D,5.94E-07
Model_Tecno Spark 8T,5.03E-07
Colour_Lucent White,4.56E-07
Colour_Exploratory Blue,4.55E-07
Processor__Unisoc Tiger T612 (12 nm),4.54E-07
Colour_Light Sea Green,4.46E-07
Model_redmi mono,4.41E-07
Colour_Green Apple,4.10E-07
Colour_Stripe Blue,4.01E-07
Colour_Scarlet Red,3.99E-07
Colour_Caribbean Green,3.75E-07
Model_micromax,3.56E-07
Colour_Shadow Black,3.43E-07
Processor__MTK6261D,3.39E-07
Colour_Polar Black,3.36E-07
Colour_Midnight Blue,3.16E-07
Colour_Flame Red,2.96E-07
Colour_Rush Black,2.77E-07
Colour_Sunrise Copper,2.56E-07
Colour_Hyperspace,2.52E-07
Model_Tecno Pop 5 Pro,2.49E-07
Colour_Stripe Black,2.46E-07
Colour_Prime Black,2.35E-07
Processor__Helio A22,2.02E-07
Colour_Denim Black,1.98E-07
Model_Redmi 9A Sport,1.82E-07
Model_Infinix Note 11s Free Fire Edition,1.61E-07
Colour_VertMenthe,1.39E-07
Colour_Starry Purple,1.25E-07
Colour_Ink Black,1.22E-07
Processor__Mediatek Helio G88,1.20E-07
Colour_Jade White,1.12E-07
Model_micromax1,1.04E-07
Colour_DawnBlue,9.60E-08
Colour_Luna Blue,8.11E-08
Colour_Deepsea Luster,5.93E-08
Colour_Bamboo Green,5.08E-08
Colour_Waterfall Blue,4.46E-08
Colour_Halo White,2.46E-08
Colour_OMG Black,1.34E-08
Colour_Marigold,9.96E-09
Colour_Steel Blue,0
Colour_Starry Glow,0
Colour_Sunrise Orange,0
Colour_Sunshine Gold,0
Colour_Starlight Black,0
Colour_Starry Black,0
Colour_chalk,0
Colour_Wildcat Blue,0
Colour_Tuscany Blue,0
Colour_White,0
Colour_Night Black,0
Colour_Mithril Grey,0
Colour_Pacific Blue,0
Colour_Silk Blue,0
Colour_Polar Blue,0
Colour_Playful Green,0
Colour_Paper White,0
Colour_Purple,0
Colour_Lunar Black,0
Processor__IOS,0
Colour_Lunar Blue,0
Colour_Matte black,0
Colour_Meteor Grey,0
Colour_Meteor Black,0
Colour_Meterorite Grey,0
Processor__6 Core,0
Colour_Fantasy Purple,0
Colour_Laser Black,0
Colour_Heart Of Ocean,0
Processor__MediaTek Dimensity 700,0
Colour_Icy Blue,0
Colour_Ice Dawn,0
Processor__MTK Dimensity 700,0
Colour_Iris Purple,0
Colour_Eclipse Black,0
Colour_Deep Ocean Blue,0
Colour_Frost White,0
Colour_DEEP GRAY,0
Colour_Coral Orange,0
Colour_Diamond White,0
Colour_Awesome Silver,0
Colour_Cyan,0
Colour_Alpine White,0
Model_vivo Y565G,0
Processor__Qualcomm SM6225 Snapdragon 680 4G (6 nm),0
Processor__Mediatek Helio G95,0
Colour_Awesome Lime,0
Colour_Aurora Gold,0
Colour_Aqua Sky,0
Model_SAMSUNG M53 5G,0
Model_micromax 1,0
Model_POCO M3 Pro 5G,0
Model_REDMI Note 10S,0
Model_POCO F1,0
Model_OPPO A77s,0
Model_LAVA Z21,0
Model_OPPO F21s Pro,0
Processor__Qualcomm Snapdragon 845,0
